문서 번호,(구)파일명,확장자,이동 상태,최종 업로드일,담당자(부서),권한 정보,용량(MB),폴더 경로
DOC01042,[52101618]-belif-numero10-125ml-01.jpg,.jpg,,2023. 5. 25,,,11.24,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\뉴메로-numero\뉴메로-numero\
DOC01043,[52101618]-belif-numero10-125ml-02.jpg,.jpg,,2023. 5. 25,,,16.19,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\뉴메로-numero\뉴메로-numero\
DOC01044,[52101617][52101618]-belif-numero10-01.jpg,.jpg,,2023. 5. 25,,,15.02,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\뉴메로-numero\단체컷-group\
DOC01045,[52101617][52101618]-belif-numero10-02.jpg,.jpg,,2023. 5. 25,,,19.11,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\뉴메로-numero\단체컷-group\
DOC01046,[52101618][52101734]-belif-numero10-moisturizingbomb-01.jpg,.jpg,,2023. 5. 25,,,5.01,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\뉴메로-numero\단체컷-group\
DOC01047,[52101618][52101734]-belif-numero10-moisturizingbomb-02.jpg,.jpg,,2023. 5. 25,,,3.42,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\뉴메로-numero\단체컷-group\
DOC01048,[52101539]-belif-basic-bergamotherbalextracttoner-200ml-01.jpg,.jpg,,2022. 5. 23,,,10.51,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\베르가못토너-bergamottoner\
DOC01049,[52101539]-belif-basic-bergamotherbalextracttoner-200ml-02.jpg,.jpg,,2022. 5. 23,,,18.84,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\베르가못토너-bergamottoner\
DOC01050,[52101539]-belif-basic-bergamotherbalextracttoner-200ml-03.jpg,.jpg,,2022. 5. 23,,,9.72,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\베르가못토너-bergamottoner\
DOC01051,[52101539]-belif-basic-bergamotherbalextracttoner-200ml-04.jpg,.jpg,,2022. 5. 23,,,10.22,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\베르가못토너-bergamottoner\
DOC01052,[52101539]-belif-basic-bergamotherbalextracttoner-200ml-05.gif,.gif,,2022. 5. 23,,,15.14,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\베르가못토너-bergamottoner\
DOC01053,[52101539]-belif-basic-bergamotherbalextracttoner-200ml-06.gif,.gif,,2022. 5. 23,,,5.75,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\베르가못토너-bergamottoner\
DOC01054,[52100003]-belif-basic-witchhazelherbalextracttoner-200ml-01.jpg,.jpg,,2022. 5. 18,,,0.56,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\위치헤이즐토너-witchhazeltoner\
DOC01055,[52100003]-belif-basic-witchhazelherbalextracttoner-200ml-02.jpg,.jpg,,2022. 5. 18,,,0.4,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\위치헤이즐토너-witchhazeltoner\
DOC01056,[52100003]-belif-basic-witchhazelherbalextracttoner-200ml-03.jpg,.jpg,,2022. 5. 18,,,0.32,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\위치헤이즐토너-witchhazeltoner\
DOC01057,[52100003]-belif-basic-witchhazelherbalextracttoner-200ml-04.jpg,.jpg,,2022. 5. 20,,,1.17,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\위치헤이즐토너-witchhazeltoner\
DOC01058,[52100003]-belif-basic-witchhazelherbalextracttoner-200ml-05.gif,.gif,,2022. 8. 3,,,12.52,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\위치헤이즐토너-witchhazeltoner\
