문서 번호,(구)파일명,확장자,이동 상태,최종 업로드일,담당자(부서),권한 정보,용량(MB),용량(MB),용량(KB),용량,Folder Path,,,,,,,,,,,,,,,,,,,,,
DOC00501,0705_[빌리프] 모이스춰라이징 밤 타로 점보 에디션_세트박스_1차.jpg,.jpg,보류,2022. 7. 5,,,2.94,2.94,3010.18,3082427,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\모이스춰라이징 밤\2209 모밤 점보 타로에디션 누끼\,,,,,,,,,,,,,,,,,,,,,
DOC00502,0705_[빌리프] 모이스춰라이징 밤 타로 점보 에디션_카드 개입_1차.jpg,.jpg,보류,2022. 7. 5,,,1.43,1.43,1464.36,1499503,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\모이스춰라이징 밤\2209 모밤 점보 타로에디션 누끼\,,,,,,,,,,,,,,,,,,,,,
DOC00503,0705_[빌리프] 모이스춰라이징 밤 타로 점보 에디션_카드 연출A_1차.jpg,.jpg,보류,2022. 7. 5,,,1.48,1.48,1518.97,1555428,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\모이스춰라이징 밤\2209 모밤 점보 타로에디션 누끼\,,,,,,,,,,,,,,,,,,,,,
DOC00504,0705_[빌리프] 모이스춰라이징 밤 타로 점보 에디션_카드 연출B_1차.jpg,.jpg,보류,2022. 7. 4,,,2.82,2.82,2889.73,2959079,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\모이스춰라이징 밤\2209 모밤 점보 타로에디션 누끼\,,,,,,,,,,,,,,,,,,,,,
DOC00505,0705_[빌리프] 모이스춰라이징 밤 타로 점보 에디션_카드 펼침A_1차.jpg,.jpg,보류,2022. 7. 18,,,1.19,1.19,1216.58,1245775,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\모이스춰라이징 밤\2209 모밤 점보 타로에디션 누끼\,,,,,,,,,,,,,,,,,,,,,
DOC00506,0705_[빌리프] 모이스춰라이징 밤 타로 점보 에디션_카드 펼침B_1차.jpg,.jpg,보류,2022. 7. 18,,,1.49,1.49,1528.40,1565084,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\모이스춰라이징 밤\2209 모밤 점보 타로에디션 누끼\,,,,,,,,,,,,,,,,,,,,,
DOC00507,0705_[빌리프] 모이스춰라이징 밤 타로 점보 에디션_해설집 개입_1차.jpg,.jpg,보류,2022. 7. 5,,,2.61,2.61,2676.33,2740567,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\모이스춰라이징 밤\2209 모밤 점보 타로에디션 누끼\,,,,,,,,,,,,,,,,,,,,,
DOC00508,0705_[빌리프] 모이스춰라이징 밤 타로 점보 에디션_해설집_1차.jpg,.jpg,보류,2022. 7. 5,,,0.74,0.74,760.35,778601,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\모이스춰라이징 밤\2209 모밤 점보 타로에디션 누끼\,,,,,,,,,,,,,,,,,,,,,
DOC00509,0726_[빌리프] 모이스춰라이징 밤 타로 점보 에디션_세트컷_1차.jpg,.jpg,보류,2022. 7. 26,,,2.87,2.87,2943.87,3014520,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\모이스춰라이징 밤\2209 모밤 점보 타로에디션 누끼\,,,,,,,,,,,,,,,,,,,,,
DOC00510,0726_[빌리프] 모이스춰라이징 밤 타로 점보 에디션_전체세트컷 C_1차.jpg,.jpg,보류,2022. 7. 26,,,3.55,3.55,3638.46,3725780,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\모이스춰라이징 밤\2209 모밤 점보 타로에디션 누끼\,,,,,,,,,,,,,,,,,,,,,
DOC00511,0726_[빌리프] 모이스춰라이징 밤 타로 점보 에디션_전체세트컷 D_1차.jpg,.jpg,보류,2022. 7. 26,,,3.88,3.88,3976.72,4072165,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\모이스춰라이징 밤\2209 모밤 점보 타로에디션 누끼\,,,,,,,,,,,,,,,,,,,,,
DOC00512,1206_[빌리프] 오프 핸드크림 인텐스-카밍 화이트 50ml (1).jpg,.jpg,,2022. 12. 6,,,1.01,1.01,1038.65,1063580,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\바디\,,,,,,,,,,,,,,,,,,,,,
DOC00513,52101646_모이스춰라이징 립밤(베이직).png,.png,,2022. 5. 18,,,5.10,5.10,5220.57,5345859,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\바디\,,,,,,,,,,,,,,,,,,,,,
DOC00514,52101646_모이스춰라이징 립밤_베이직_오픈컷.png,.png,,2022. 5. 18,,,8.37,8.37,8571.47,8777182,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\바디\,,,,,,,,,,,,,,,,,,,,,
DOC00515,52101647_모이스춰라이징 립밤(핑크).png,.png,,2022. 5. 18,,,4.94,4.94,5058.43,5179832,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\바디\,,,,,,,,,,,,,,,,,,,,,
DOC00516,52101647_모이스춰라이징 립밤_핑크.png,.png,,2022. 5. 18,,,8.44,8.44,8646.94,8854471,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\바디\,,,,,,,,,,,,,,,,,,,,,
DOC00517,52101648_모이스춰라이징 립밤(코랄).png,.png,,2022. 5. 18,,,5.28,5.28,5405.80,5535536,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\바디\,,,,,,,,,,,,,,,,,,,,,
DOC00518,52101648_모이스춰라이징 립밤_코랄.png,.png,,2022. 5. 18,,,8.88,8.88,9088.40,9306518,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\바디\,,,,,,,,,,,,,,,,,,,,,
DOC00519,52101845_오프 핸드크림-릴렉싱 포레스트 50ml.png,.png,,2022. 5. 18,,,6.00,6.00,6143.76,6291215,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\바디\,,,,,,,,,,,,,,,,,,,,,
DOC00520,52101846_오프 핸드크림-플레전트 스테이 50ml.png,.png,,2022. 5. 18,,,5.94,5.94,6079.79,6225700,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\바디\,,,,,,,,,,,,,,,,,,,,,
DOC00521,52101847_오프 바디워시-릴렉싱 포레스트 250ml.png,.png,,2022. 5. 18,,,7.63,7.63,7816.21,8003803,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\바디\,,,,,,,,,,,,,,,,,,,,,
DOC00522,52101848_오프 바디워시-플레전트 스테이 250ml.png,.png,,2022. 5. 18,,,7.62,7.62,7804.28,7991584,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\바디\,,,,,,,,,,,,,,,,,,,,,
DOC00523,52101849_오프 바디로션-릴렉싱 포레스트 250ml.png,.png,,2022. 5. 18,,,5.46,5.46,5594.33,5728599,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\바디\,,,,,,,,,,,,,,,,,,,,,
DOC00524,52101850_오프 바디로션-플레전트 스테이 250ml.png,.png,,2022. 5. 18,,,5.40,5.40,5530.73,5663472,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\바디\,,,,,,,,,,,,,,,,,,,,,
DOC00525,52101851_오프 핸드워시-릴렉싱 포레스트 250ml.png,.png,,2022. 5. 18,,,7.62,7.62,7800.81,7988026,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\바디\,,,,,,,,,,,,,,,,,,,,,
DOC00526,52101852_오프 핸드워시-플레전트 스테이 250ml.png,.png,,2022. 5. 18,,,7.60,7.60,7783.70,7970508,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\바디\,,,,,,,,,,,,,,,,,,,,,
DOC00527,52100635 빌리프 해피보 마일드선스크린 50(GB).png,.png,,2021. 2. 24,,,7.51,7.51,7686.56,7871036,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비\,,,,,,,,,,,,,,,,,,,,,
DOC00528,52100636 빌리프 해피보 수딩크림 150(GB).png,.png,,2021. 2. 24,,,19.69,19.69,20164.09,20648029,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비\,,,,,,,,,,,,,,,,,,,,,
DOC00529,52100637 빌리프 해피보 페이스앤바디 에멀전250(GB).png,.png,,2021. 2. 24,,,4.90,4.90,5017.77,5138201,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비\,,,,,,,,,,,,,,,,,,,,,
DOC00530,52100638 빌리프 해피보 헤어&바디 워시 250(GB).png,.png,,2021. 2. 24,,,4.89,4.89,5005.68,5125815,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비\,,,,,,,,,,,,,,,,,,,,,
DOC00531,52101117 빌리프 해피보 클렌징워터 200.png,.png,,2021. 2. 24,,,12.29,12.29,12585.32,12887369,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비\,,,,,,,,,,,,,,,,,,,,,
DOC00532,52101688_해피 보 선스틱 18g.png,.png,,2022. 5. 18,,,4.53,4.53,4638.00,4749309,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비\,,,,,,,,,,,,,,,,,,,,,
DOC00533,52101688_해피 보 선스틱 18g_구도컷.png,.png,,2022. 5. 18,,,6.40,6.40,6550.21,6707412,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비\,,,,,,,,,,,,,,,,,,,,,
DOC00534,52101739_해피 보 선 메탈 쿠션 15g(22년).png,.png,,2022. 5. 18,,,9.81,9.81,10044.44,10285510,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비\,,,,,,,,,,,,,,,,,,,,,
DOC00535,52101739_해피 보 선 메탈 쿠션 15g_대각 반오픈(퍼프).png,.png,,2022. 5. 18,,,2.14,2.14,2195.14,2247825,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비\,,,,,,,,,,,,,,,,,,,,,
DOC00536,52101739_해피 보 선 메탈 쿠션 15g_대각 반오픈.png,.png,,2022. 5. 18,,,2.54,2.54,2596.93,2659256,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비\,,,,,,,,,,,,,,,,,,,,,
DOC00537,0407_[빌리프] 해피 보 마일드 선 스크린 50ml_Q 출고데이터.png,.png,,2023. 4. 7,,,11.83,11.83,12114.06,12404797,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비(해피 보 리뉴얼)\,,,,,,,,,,,,,,,,,,,,,
DOC00538,0407_[빌리프] 해피 보 마일드 클렌징 워터 200ml_Q 출고데이터.png,.png,,2023. 4. 7,,,6.85,6.85,7010.49,7178742,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비(해피 보 리뉴얼)\,,,,,,,,,,,,,,,,,,,,,
DOC00539,0407_[빌리프] 해피 보 선 메탈 쿠션 15g_Q 출고데이터.png,.png,,2023. 4. 7,,,9.75,9.75,9979.84,10219356,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비(해피 보 리뉴얼)\,,,,,,,,,,,,,,,,,,,,,
DOC00540,0407_[빌리프] 해피 보 소프트 수딩 크림 150ml_Q 출고데이터.png,.png,,2023. 4. 7,,,10.34,10.34,10589.80,10843953,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비(해피 보 리뉴얼)\,,,,,,,,,,,,,,,,,,,,,
DOC00541,0407_[빌리프] 해피 보 이지워시 선스틱_Q 출고데이터.png,.png,,2023. 4. 7,,,7.36,7.36,7540.93,7721917,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비(해피 보 리뉴얼)\,,,,,,,,,,,,,,,,,,,,,
DOC00542,0407_[빌리프] 해피 보 탑투토 올인원 워시 300ml_Q 출고데이터.png,.png,,2023. 4. 7,,,7.78,7.78,7966.88,8158080,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비(해피 보 리뉴얼)\,,,,,,,,,,,,,,,,,,,,,
DOC00543,0407_[빌리프] 해피 보 페이스 앤 바디 에멀전 250ml_Q 출고데이터.png,.png,,2023. 4. 7,,,9.81,9.81,10040.78,10281754,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비(해피 보 리뉴얼)\,,,,,,,,,,,,,,,,,,,,,
DOC00544,0426_[빌리프] 해피 보 선 메탈 쿠션 15g(리필파우치)_Q 출고데이터.png,.png,,2023. 4. 26,,,12.33,12.33,12624.66,12927656,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이비(해피 보 리뉴얼)\,,,,,,,,,,,,,,,,,,,,,
DOC00545,52100001 빌리프 유칼립투스 익스트랙트토너200.png,.png,,2021. 2. 24,,,4.66,4.66,4768.86,4883315,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이직\,,,,,,,,,,,,,,,,,,,,,
DOC00546,52100003 빌리프 위치헤이즐 익스트랙트토너200.png,.png,,2021. 2. 24,,,4.90,4.90,5012.77,5133075,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이직\,,,,,,,,,,,,,,,,,,,,,
DOC00547,52100023 빌리프 오일컨트롤 모이스처후레쉬125.png,.png,,2021. 2. 24,,,3.76,3.76,3855.12,3947639,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이직\,,,,,,,,,,,,,,,,,,,,,
DOC00548,52100024 빌리프 밀키 모이스처H밸런싱125.png,.png,,2021. 2. 24,,,5.22,5.22,5348.90,5477278,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이직\,,,,,,,,,,,,,,,,,,,,,
DOC00549,52100025 빌리프 크리미 모이스처딥모이스트125.png,.png,,2021. 2. 24,,,4.00,4.00,4098.43,4196793,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이직\,,,,,,,,,,,,,,,,,,,,,
DOC00550,52100357 빌리프 헝가리언에센스M바인더75.png,.png,,2021. 2. 24,,,2.96,2.96,3026.77,3099410,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이직\,,,,,,,,,,,,,,,,,,,,,
DOC00551,52100435 빌리프 헝가리언 워터에센스75(GB).png,.png,,2021. 2. 24,,,2.82,2.82,2891.39,2960787,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이직\,,,,,,,,,,,,,,,,,,,,,
DOC00552,52100436 빌리프 클래식크림 얼티미트50(GB).png,.png,,2021. 2. 24,,,10.43,10.43,10678.73,10935022,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이직\,,,,,,,,,,,,,,,,,,,,,
DOC00553,52100445 빌리프 클래식 에센스 인크리멘트50(GB).png,.png,,2021. 2. 24,,,8.56,8.56,8769.57,8980043,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이직\,,,,,,,,,,,,,,,,,,,,,
DOC00554,52100798 빌리프 뉴메로10 75(GB).png,.png,,2021. 2. 24,,,14.79,14.79,15148.44,15512007,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이직\,,,,,,,,,,,,,,,,,,,,,
DOC00555,52100800 빌리프 뉴메로10 125(GB).png,.png,,2022. 5. 18,,,18.71,18.71,19161.83,19621713,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이직\,,,,,,,,,,,,,,,,,,,,,
DOC00556,52101539 빌리프 베르가못 익스트랙트토너200_Y20.png,.png,,2021. 2. 24,,,5.47,5.47,5605.70,5740233,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이직\,,,,,,,,,,,,,,,,,,,,,
DOC00557,52101613 빌리프 뉴메로10 미스트 150.png,.png,,2021. 2. 24,,,10.11,10.11,10351.22,10599652,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\베이직\,,,,,,,,,,,,,,,,,,,,,
DOC00558,52100860_모밤쿠션2nd_반측면.png,.png,,2022. 5. 18,,,9.17,9.17,9385.31,9610562,"C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\선, 쿠션\",,,,,,,,,,,,,,,,,,,,,
DOC00559,52100860_모밤쿠션2nd_정면 듀얼커버 모두 노출.png,.png,,2022. 5. 18,,,4.68,4.68,4788.52,4903445,"C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\선, 쿠션\",,,,,,,,,,,,,,,,,,,,,
DOC00560,52100860_모밤쿠션2nd_정면.png,.png,,2022. 5. 18,,,10.61,10.61,10863.22,11123942,"C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\선, 쿠션\",,,,,,,,,,,,,,,,,,,,,
DOC00561,52101284 빌리프 UV프로텍터 선스크린 젤 50(19년) - 복사본.png,.png,,2021. 2. 24,,,2.61,2.61,2669.69,2733764,"C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\선, 쿠션\",,,,,,,,,,,,,,,,,,,,,
DOC00562,52101289 빌리프 UV프로텍터 멀티 선 스크린+ 50 - 복사본.png,.png,,2021. 2. 24,,,7.52,7.52,7697.67,7882409,"C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\선, 쿠션\",,,,,,,,,,,,,,,,,,,,,
DOC00563,52101290 빌리프 UV프로텍터 톤업 선 스크린 50 - 복사본.png,.png,,2021. 2. 24,,,8.56,8.56,8765.92,8976305,"C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\선, 쿠션\",,,,,,,,,,,,,,,,,,,,,
DOC00564,52101291 빌리프 UV프로텍터 스탠바이유베이직BB 50 - 복사본.png,.png,,2021. 2. 24,,,8.64,8.64,8844.26,9056524,"C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\선, 쿠션\",,,,,,,,,,,,,,,,,,,,,
DOC00565,52101292 빌리프 UV프로텍터 레포츠 선 스크린 80 - 복사본.png,.png,,2021. 2. 24,,,15.68,15.68,16054.08,16439380,"C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\선, 쿠션\",,,,,,,,,,,,,,,,,,,,,
DOC00566,52101293 빌리프 UV프로텍터 올마이티 선 스틱 17 - 복사본.png,.png,,2021. 2. 24,,,5.34,5.34,5470.95,5602255,"C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\선, 쿠션\",,,,,,,,,,,,,,,,,,,,,
DOC00567,[빌리프] UV 프로텍터 아쿠아 밤 선 세럼 50ml.png,.png,,2022. 5. 18,,,4.13,4.13,4229.72,4331230,"C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\선, 쿠션\",,,,,,,,,,,,,,,,,,,,,
DOC00568,0104_[빌리프] 슈퍼 나이츠-리제너레이팅 나이트 마스크 75ml_Q 출고데이터.jpg,.jpg,,2023. 1. 2,,,0.46,0.46,474.59,485981,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\슈퍼 나이츠\,,,,,,,,,,,,,,,,,,,,,
DOC00569,0104_[빌리프] 슈퍼 나이츠-리제너레이팅 나이트 마스크 75ml_Q 출고데이터.psd,.psd,,2023. 1. 4,,,29.99,29.99,30714.68,31451833,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\슈퍼 나이츠\,,,,,,,,,,,,,,,,,,,,,
DOC00570,0104_[빌리프] 슈퍼 나이츠-퓨리파잉 클레이 마스크 75ml_Q 출고데이터.jpg,.jpg,,2023. 1. 2,,,0.49,0.49,503.52,515607,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\슈퍼 나이츠\,,,,,,,,,,,,,,,,,,,,,
DOC00571,0104_[빌리프] 슈퍼 나이츠-퓨리파잉 클레이 마스크 75ml_Q 출고데이터.psd,.psd,,2023. 1. 4,,,29.78,29.78,30497.76,31229703,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\슈퍼 나이츠\,,,,,,,,,,,,,,,,,,,,,
DOC00572,52101802_[빌리프] 슈퍼 나이츠-멀티 비타민 마스크_75ml.png,.png,,2022. 5. 18,,,5.98,5.98,6119.00,6265854,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\슈퍼 나이츠\,,,,,,,,,,,,,,,,,,,,,
DOC00573,52101803_[빌리프] 슈퍼 나이츠-클리어 수딩 마스크_75ml.png,.png,,2022. 5. 18,,,6.28,6.28,6425.60,6579819,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\슈퍼 나이츠\,,,,,,,,,,,,,,,,,,,,,
DOC00574,0208_[빌리프] 슈퍼 드랍스-비타민 C 워터 트리트먼트 150ml_2차.jpg,.jpg,,2023. 2. 8,,,0.55,0.55,559.88,573321,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\정품\정품 누끼컷_PNG\슈퍼 드랍스\,,,,,,,,,,,,,,,,,,,,,
