문서 번호,(구)파일명,확장자,이동 상태,최종 업로드일,담당자(부서),권한 정보,용량(MB),용량(MB),용량(KB),용량,Folder Path,,,,,,,,,,,,,,,,,,,,,
DOC00031,0407_[빌리프] 해피 보 페이스 앤 바디 에멀전 250ml_Q 출고데이터.psd,.psd,,2023. 4. 7,,,55.36,55.36,56684.22,58044642,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\,,,,,,,,,,,,,,,,,,,,,
DOC00032,0407_[빌리프] 해피 보 마일드 선 스크린 50ml_Q 출고데이터.jpg,.jpg,,2023. 4. 6,,,1.12,1.12,1148.81,1176379,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00033,0407_[빌리프] 해피 보 마일드 클렌징 워터 200ml_Q 출고데이터.jpg,.jpg,,2023. 4. 7,,,0.96,0.96,981.58,1005136,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00034,0407_[빌리프] 해피 보 선 메탈 쿠션 15g_Q 출고데이터.jpg,.jpg,,2023. 4. 6,,,1.35,1.35,1377.68,1410740,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00035,0407_[빌리프] 해피 보 소프트 수딩 크림 150ml_Q 출고데이터.jpg,.jpg,,2023. 4. 7,,,1.12,1.12,1150.61,1178221,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00036,0407_[빌리프] 해피 보 이지워시 선스틱_Q 출고데이터.jpg,.jpg,,2023. 4. 7,,,1.04,1.04,1060.76,1086220,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00037,0407_[빌리프] 해피 보 탑투토 올인원 워시 300ml_Q 출고데이터.jpg,.jpg,,2023. 4. 7,,,0.91,0.91,936.05,958517,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00038,0407_[빌리프] 해피 보 페이스 앤 바디 에멀전 250ml_Q 출고데이터.jpg,.jpg,,2023. 4. 7,,,1.21,1.21,1238.62,1268347,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00039,0407_[빌리프] 해피 보 마일드 선 스크린 50ml_Q 출고데이터.png,.png,,2023. 4. 7,,,11.83,11.83,12114.06,12404797,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00040,0407_[빌리프] 해피 보 마일드 클렌징 워터 200ml_Q 출고데이터.png,.png,,2023. 4. 7,,,6.85,6.85,7010.49,7178742,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\PNG\,,,,,,,,,,,,,,,,,,,,,
